image_name,target,pred,fold
ISIC_2637011,0,0.01907117,0
ISIC_0076262,0,0.03793141,0
ISIC_0074268,0,0.029152034,0
ISIC_0015719,0,0.028908521,0
ISIC_0082543,0,0.03473226,0
ISIC_0075663,0,0.019081952,0
ISIC_0068279,0,0.029167863,0
ISIC_0089401,0,0.029837085,0
ISIC_0076742,0,0.033911463,0
ISIC_0075914,0,0.031930443,0
ISIC_0091559,0,0.026004678,0
ISIC_0083035,0,0.033243287,0
ISIC_0078703,0,0.027443148,0
ISIC_0096328,0,0.030564535,0
ISIC_0085172,0,0.028851146,0
ISIC_0092726,0,0.020999683,0
ISIC_0097499,0,0.029726647,0
ISIC_0089738,0,0.039885793,0
ISIC_0147869,0,0.036323506,0
ISIC_0150975,0,0.07357314,0
ISIC_0092870,0,0.023467153,0
ISIC_0148677,0,0.034101155,0
ISIC_0158127,0,0.02385825,0
ISIC_0094775,0,0.032483716,0
ISIC_0149568,1,0.029351322,0
ISIC_0160270,0,0.02103305,0
ISIC_0097997,0,0.028504528,0
ISIC_0153549,0,0.028207827,0
ISIC_0163812,0,0.054066684,0
ISIC_0103298,0,0.026870232,0
ISIC_0154870,0,0.025879996,0
ISIC_0165945,0,0.028300999,0
ISIC_0109869,0,0.032154817,0
ISIC_0156772,0,0.03450909,0
ISIC_0185547,0,0.02517248,0
ISIC_0151200,0,0.030916613,0
ISIC_0164603,0,0.022603828,0
ISIC_0186437,0,0.034165174,0
ISIC_0154338,0,0.029139744,0
ISIC_0170696,0,0.022264369,0
ISIC_0186501,0,0.02930575,0
ISIC_0155012,0,0.024974167,0
ISIC_0179056,0,0.04625603,0
ISIC_0188955,0,0.029574813,0
ISIC_0159782,0,0.031591736,0
ISIC_0179104,0,0.036184695,0
ISIC_0189336,0,0.03580035,0
ISIC_0159996,0,0.056292366,0
ISIC_0184482,0,0.020141356,0
ISIC_0192701,0,0.025318457,0
ISIC_0164809,0,0.043822743,0
ISIC_0187428,0,0.04963007,0
ISIC_0193785,0,0.028997928,0
ISIC_0166202,0,0.036304798,0
ISIC_0189333,0,0.029976714,0
ISIC_0199261,0,0.027961869,0
ISIC_0170583,0,0.029288251,0
ISIC_0194550,0,0.03060683,0
ISIC_0199455,0,0.023050308,0
ISIC_0170636,0,0.02200435,0
ISIC_0196694,0,0.023383474,0
ISIC_0203016,0,0.025664752,0
ISIC_0174405,0,0.034960244,0
ISIC_0200999,0,0.021012606,0
ISIC_0204580,0,0.021135533,0
ISIC_0187498,0,0.025261693,0
ISIC_0202259,0,0.032158885,0
ISIC_0206079,0,0.036303844,0
ISIC_0196399,0,0.039303403,0
ISIC_0202576,0,0.029248249,0
ISIC_0213974,0,0.020332288,0
ISIC_0202023,0,0.02824051,0
ISIC_0204275,0,0.026849413,0
ISIC_0215054,0,0.058410503,0
ISIC_0204994,0,0.15597907,0
ISIC_0205127,0,0.02473454,0
ISIC_0215112,0,0.018336754,0
ISIC_0214186,0,0.027233334,0
ISIC_0215966,0,0.03911126,0
ISIC_0216690,0,0.024057753,0
ISIC_0219450,0,0.057877693,0
ISIC_0220649,0,0.03808617,0
ISIC_0217267,0,0.021364354,0
ISIC_0224300,0,0.03899579,0
ISIC_0225245,0,0.03318636,0
ISIC_0218575,0,0.026656378,0
ISIC_0228497,0,0.030706245,0
ISIC_0229459,0,0.03676421,0
ISIC_0219948,0,0.036208846,0
ISIC_0229265,0,0.025725065,0
ISIC_0229832,0,0.01620546,0
ISIC_0222150,0,0.026297824,0
ISIC_0229871,0,0.024435671,0
ISIC_0232963,0,0.028811546,0
ISIC_0224919,0,0.02358393,0
ISIC_0232785,0,0.035993215,0
ISIC_0233487,0,0.018600764,0
ISIC_0231167,0,0.0338397,0
ISIC_0236531,0,0.033756852,0
ISIC_0234146,0,0.025745582,0
ISIC_0232101,1,0.042140584,0
ISIC_0238711,0,0.02516854,0
ISIC_0236261,0,0.014272833,0
ISIC_0234248,0,0.023920793,0
ISIC_0238824,0,0.028991355,0
ISIC_0237721,0,0.024539959,0
ISIC_0239843,0,0.081956655,0
ISIC_0238940,0,0.019075781,0
ISIC_0238871,0,0.031050712,0
ISIC_0242433,0,0.0305643,0
ISIC_0243683,0,0.06269286,0
ISIC_0239597,0,0.03415296,0
ISIC_0243849,0,0.023574507,0
ISIC_0250842,0,0.02551929,0
ISIC_0248321,0,0.02142759,0
ISIC_0248114,0,0.16775976,0
ISIC_0251149,0,0.034739826,0
ISIC_0248628,0,0.02210053,0
ISIC_0248521,0,0.036869973,0
ISIC_0252448,0,0.025690608,0
ISIC_0248936,0,0.02713471,0
ISIC_0253367,0,0.032703135,0
ISIC_0253516,0,0.023798246,0
ISIC_0250064,0,0.025650494,0
ISIC_0254517,0,0.024683451,0
ISIC_0256926,0,0.057567164,0
ISIC_0252649,0,0.021622764,0
ISIC_0258806,0,0.023591407,0
ISIC_0262276,0,0.093753815,0
ISIC_0254698,0,0.023313541,0
ISIC_0294170,0,0.034788813,0
ISIC_0271408,0,0.028344827,0
ISIC_0255914,0,0.037104987,0
ISIC_0298274,0,0.045360066,0
ISIC_0273664,0,0.030828953,0
ISIC_0258061,0,0.085139275,0
ISIC_0299504,0,0.023407333,0
ISIC_0278346,0,0.022020435,0
ISIC_0258821,0,0.022533359,0
ISIC_0301191,0,0.03360601,0
ISIC_0279526,0,0.03219561,0
ISIC_0262401,0,0.030585809,0
ISIC_0302804,0,0.032890376,0
ISIC_0286360,1,0.07960598,0
ISIC_0267054,0,0.03488176,0
ISIC_0305679,0,0.02114641,0
ISIC_0290881,0,0.043028925,0
ISIC_0268187,0,0.04060561,0
ISIC_0307377,0,0.01330267,0
ISIC_0293607,0,0.028480517,0
ISIC_0268633,0,0.029187966,0
ISIC_0315525,0,0.031736176,0
ISIC_0294733,0,0.025660248,0
ISIC_0270289,0,0.035099372,0
ISIC_0316826,0,0.031827647,0
ISIC_0294910,0,0.018459616,0
ISIC_0275984,0,0.62142414,0
ISIC_0322340,0,0.041670408,0
ISIC_0297186,0,0.035947062,0
ISIC_0278126,0,0.027366275,0
ISIC_0322967,0,0.02168979,0
ISIC_0300915,0,0.021447767,0
ISIC_0278130,0,0.037789498,0
ISIC_0325416,0,0.03209505,0
ISIC_0301931,0,0.033602986,0
ISIC_0280208,0,0.022010304,0
ISIC_0326523,0,0.10838137,0
ISIC_0308722,0,0.028950505,0
ISIC_0281291,0,0.034345966,0
ISIC_0334227,0,0.025275307,0
ISIC_0317589,0,0.045738194,0
ISIC_0281658,0,0.02316929,0
ISIC_0335396,0,0.02441016,0
ISIC_0334024,0,0.029197503,0
ISIC_0284422,0,0.016893344,0
ISIC_0337631,1,0.18069306,0
ISIC_0339930,0,0.026743822,0
ISIC_0286750,0,0.029051851,0
ISIC_0338377,0,0.029221486,0
ISIC_0341663,0,0.025161589,0
ISIC_0295178,0,0.04340952,0
ISIC_0338712,0,0.027200924,0
ISIC_0342557,0,0.03266017,0
ISIC_0304703,0,0.0377301,0
ISIC_0354589,0,0.02696123,0
ISIC_0342587,0,0.016974611,0
ISIC_0308133,0,0.029317357,0
ISIC_0357043,0,0.05965477,0
ISIC_0344052,0,0.022347657,0
ISIC_0311112,0,0.03463981,0
ISIC_0358071,0,0.01999843,0
ISIC_0347824,0,0.08833527,0
ISIC_0311369,0,0.029601157,0
ISIC_0364478,0,0.028119272,0
ISIC_0349484,0,0.014184042,0
ISIC_0313422,0,0.022392945,0
ISIC_0379979,0,0.033078585,0
ISIC_0349996,0,0.028250603,0
ISIC_0313507,0,0.030160032,0
ISIC_0380954,0,0.027352195,0
ISIC_0350472,0,0.02399435,0
ISIC_0322004,0,0.031617135,0
ISIC_0395456,0,0.049343623,0
ISIC_0357231,0,0.029510152,0
ISIC_0324600,0,0.044412866,0
ISIC_0412659,0,0.032530036,0
ISIC_0359307,0,0.17231779,0
ISIC_0325664,0,0.027890263,0
ISIC_0422061,0,0.02970258,0
ISIC_0367913,0,0.022647988,0
ISIC_0332865,0,0.03848276,0
ISIC_0423312,0,0.024860047,0
ISIC_0375073,0,0.019266443,0
ISIC_0339773,0,0.02360038,0
ISIC_0427209,0,0.03913428,0
ISIC_0377420,0,0.02264335,0
ISIC_0355920,0,0.022397202,0
ISIC_0430356,0,0.035360027,0
ISIC_0384214,0,0.03353602,0
ISIC_0361149,0,0.029228395,0
ISIC_0434114,0,0.03723443,0
ISIC_0385609,0,0.025232725,0
ISIC_0370132,0,0.04142814,0
ISIC_0435434,0,0.053302504,0
ISIC_0389955,0,0.04414201,0
ISIC_0381169,0,0.0411243,0
ISIC_0439726,0,0.025257211,0
ISIC_0395933,0,0.030014677,0
ISIC_0384200,0,0.026026078,0
ISIC_0442837,0,0.029597372,0
ISIC_0398069,0,0.017146695,0
ISIC_0386664,0,0.028057285,0
ISIC_0455456,0,0.09717984,0
ISIC_0400685,0,0.034540042,0
ISIC_0398140,0,0.03146631,0
ISIC_0455687,0,0.0236306,0
ISIC_0403893,0,0.024486817,0
ISIC_0399416,0,0.026623964,0
ISIC_0456905,0,0.04045365,0
ISIC_0411688,0,0.03295524,0
ISIC_0404809,0,0.02698391,0
ISIC_0465385,0,0.021177184,0
ISIC_0426592,0,0.023744978,0
ISIC_0405554,0,0.031749077,0
ISIC_0465476,0,0.026278472,0
ISIC_0430837,0,0.038438983,0
ISIC_0407040,0,0.03171886,0
ISIC_0468433,0,0.023192268,0
ISIC_0430904,0,0.031306777,0
ISIC_0413247,0,0.02407563,0
ISIC_0475341,0,0.02691663,0
ISIC_0439950,0,0.033141945,0
ISIC_0421558,0,0.025204718,0
ISIC_0482297,0,0.03412894,0
ISIC_0444339,0,0.025165593,0
ISIC_0422225,0,0.03704918,0
ISIC_0484568,0,0.034492116,0
ISIC_0445267,0,0.025500815,0
ISIC_0422283,0,0.03261338,0
ISIC_0485815,0,0.025479896,0
ISIC_0459035,0,0.022412084,0
ISIC_0423722,0,0.026428007,0
ISIC_0486478,0,0.035570722,0
ISIC_0462956,0,0.02798429,0
ISIC_0426487,0,0.031044865,0
ISIC_0494344,0,0.036229663,0
ISIC_0463621,0,0.028134655,0
ISIC_0440394,0,0.024344273,0
ISIC_0502016,0,0.022332858,0
ISIC_0472490,0,0.0254287,0
ISIC_0443835,0,0.02339775,0
ISIC_0506309,0,0.029690348,0
ISIC_0474406,0,0.023156876,0
ISIC_0445396,0,0.1578505,0
ISIC_0508937,0,0.026100297,0
ISIC_0475718,0,0.03746992,0
