image_name,target,pred
ISIC_2637011,0,0.122989684343338
ISIC_0076262,0,0.046995997428894036
ISIC_0074268,0,0.00036019086837768555
ISIC_0015719,0,0.003310859203338623
ISIC_0082543,0,0.012383431196212769
ISIC_0075663,0,0.01866987347602844
ISIC_0068279,0,0.16624876856803894
ISIC_0089401,0,0.0032520294189453125
ISIC_0076742,0,0.010774165391921995
ISIC_0075914,0,0.1203993558883667
ISIC_0091559,0,0.0265536904335022
ISIC_0083035,0,0.006586700677871704
ISIC_0078703,0,0.013328015804290771
ISIC_0096328,0,0.014648884534835815
ISIC_0085172,0,0.030869662761688232
ISIC_0092726,0,0.045770347118377686
ISIC_0097499,0,0.019940823316574097
ISIC_0089738,0,0.2460547089576721
ISIC_0147869,0,0.002673923969268799
ISIC_0150975,0,0.08751514554023743
ISIC_0092870,0,0.61707603931427
ISIC_0148677,0,0.02560636401176453
ISIC_0158127,0,0.014463365077972412
ISIC_0094775,0,0.04262179136276245
ISIC_0149568,1,0.1581529676914215
ISIC_0160270,0,0.004118353128433228
ISIC_0097997,0,0.1493552029132843
ISIC_0153549,0,0.14290481805801392
ISIC_0163812,0,0.10929104685783386
ISIC_0103298,0,0.00617825984954834
ISIC_0154870,0,0.023357808589935303
ISIC_0165945,0,0.18181535601615906
ISIC_0109869,0,0.0014032423496246338
ISIC_0156772,0,0.18321716785430908
ISIC_0185547,0,0.0012438297271728516
ISIC_0151200,0,0.2370230555534363
ISIC_0164603,0,0.14815202355384827
ISIC_0186437,0,0.008515685796737671
ISIC_0154338,0,0.13824161887168884
ISIC_0170696,0,0.0273439884185791
ISIC_0186501,0,0.0898992121219635
ISIC_0155012,0,0.2356928884983063
ISIC_0179056,0,0.07315316796302795
ISIC_0188955,0,0.1056227684020996
ISIC_0159782,0,0.2521017789840698
ISIC_0179104,0,0.11106693744659424
ISIC_0189336,0,0.00889328122138977
ISIC_0159996,0,0.405632883310318
ISIC_0184482,0,0.010815352201461792
ISIC_0192701,0,0.051239848136901855
ISIC_0164809,0,0.21293553709983826
ISIC_0187428,0,0.29924625158309937
ISIC_0193785,0,0.0319443941116333
ISIC_0166202,0,0.3362856209278107
ISIC_0189333,0,0.3551245331764221
ISIC_0199261,0,0.002474606037139893
ISIC_0170583,0,0.13148802518844604
ISIC_0194550,0,0.05368739366531372
ISIC_0199455,0,0.1540365219116211
ISIC_0170636,0,0.09277945756912233
ISIC_0196694,0,0.16800877451896667
ISIC_0203016,0,0.10521674156188963
ISIC_0174405,0,0.09049221873283386
ISIC_0200999,0,0.2742642164230347
ISIC_0204580,0,0.22817283868789676
ISIC_0187498,0,0.07172784209251404
ISIC_0202259,0,0.0458122193813324
ISIC_0206079,0,0.02377408742904663
ISIC_0196399,0,0.018241584300994877
ISIC_0202576,0,0.024093031883239743
ISIC_0213974,0,0.012119442224502563
ISIC_0202023,0,0.022527098655700684
ISIC_0204275,0,0.017682790756225586
ISIC_0215054,0,0.2061235010623932
ISIC_0204994,0,0.6685728430747986
ISIC_0205127,0,0.12664368748664856
ISIC_0215112,0,0.029905825853347782
ISIC_0214186,0,0.0059731900691986075
ISIC_0215966,0,0.05752527713775635
ISIC_0216690,0,0.0006205737590789795
ISIC_0219450,0,0.4931997358798981
ISIC_0220649,0,0.2133014798164368
ISIC_0217267,0,0.005831986665725708
ISIC_0224300,0,0.1828785538673401
ISIC_0225245,0,0.08882072567939757
ISIC_0218575,0,0.003898531198501587
ISIC_0228497,0,0.03078529238700867
ISIC_0229459,0,0.09981486201286316
ISIC_0219948,0,0.0008123815059661865
ISIC_0229265,0,0.19645601511001587
