,image_name,target
0,ISIC_0052060,0.028563382104039192
1,ISIC_0052349,0.024834351614117622
2,ISIC_0058510,0.029213650617748495
3,ISIC_0073313,0.021888837683945894
4,ISIC_0073502,0.029237300856038928
5,ISIC_0074618,0.040202965028584
6,ISIC_0076801,0.033076674211770296
7,ISIC_0077586,0.10124178323894739
8,ISIC_0082004,0.15381310507655144
9,ISIC_0082785,0.026300574420019984
10,ISIC_0085332,0.015983937075361606
11,ISIC_0087243,0.019641466438770294
12,ISIC_0088167,0.040218216367065907
13,ISIC_0089356,0.020740030566230416
14,ISIC_0090283,0.3335054274648428
15,ISIC_0092481,0.02577567077241838
16,ISIC_0095455,0.029276946326717734
17,ISIC_0095790,0.024477375205606222
18,ISIC_0097719,0.26908314228057867
19,ISIC_0099348,0.1720928605645895
20,ISIC_0101040,0.04479887895286083
21,ISIC_0101383,0.0362685164436698
22,ISIC_0105104,0.09678703639656307
23,ISIC_0108196,0.01777294836938381
24,ISIC_0112420,0.7797700762748718
25,ISIC_0114232,0.02139569749124348
26,ISIC_0115798,0.02886301139369607
27,ISIC_0116844,0.024609972489997745
28,ISIC_0126432,0.018240879755467173
29,ISIC_0131485,0.02165548363700509
30,ISIC_0131912,0.021895830985158682
31,ISIC_0131978,0.02322912565432489
32,ISIC_0139322,0.09321688860654832
33,ISIC_0142066,0.07081106677651407
34,ISIC_0143109,0.04254537681117654
35,ISIC_0148210,0.15024875849485397
36,ISIC_0148937,0.08564383722841741
37,ISIC_0150213,0.02943123294971883
38,ISIC_0152553,0.01900489814579487
39,ISIC_0153127,0.028528315480798483
40,ISIC_0154289,0.029608100187033415
41,ISIC_0155813,0.2786574810743332
42,ISIC_0155983,0.4174862429499626
43,ISIC_0157088,0.01986764487810433
44,ISIC_0158761,0.02239026501774788
45,ISIC_0161963,0.10245702974498272
46,ISIC_0165178,0.038658312521874905
47,ISIC_0165230,0.11526704393327236
48,ISIC_0165615,0.019466050667688254
49,ISIC_0165617,0.0397331053391099
50,ISIC_0165674,0.03498366940766573
51,ISIC_0165928,0.08426976948976517
52,ISIC_0166561,0.02058213297277689
53,ISIC_0168125,0.0371430991217494
54,ISIC_0169378,0.06655065063387156
55,ISIC_0169575,0.02779513644054532
56,ISIC_0169906,0.4460907503962517
57,ISIC_0171865,0.13655668310821056
58,ISIC_0172678,0.02165570971556008
59,ISIC_0174800,0.05667687812820077
